open,high,low,close,volume,marketCap,timestamp
0.36004071,0.4196491,0.3545192,0.39394339,119031908.23,1002588388.95,2021-03-28T23:59:59.999Z
0.3937292,0.43839725,0.38440874,0.43206784,114877764.56,1099615374.3,2021-03-29T23:59:59.999Z
0.43271122,0.47860246,0.42310517,0.43261842,149708212.39,1101016591.05,2021-03-30T23:59:59.999Z
0.4325251,0.44694567,0.39108846,0.4231444,132826277.05,1076905160.4,2021-03-31T23:59:59.999Z
0.42265138,0.45740922,0.41022444,0.44432674,114036462.87,1130814345.63,2021-04-01T23:59:59.999Z
0.44325695,0.46779027,0.42163655,0.42874353,91681121.03,1091154977.19,2021-04-02T23:59:59.999Z
0.42841503,0.44596688,0.38871779,0.38942241,75475255.87,991082472.0,2021-04-03T23:59:59.999Z
0.38926522,0.42572043,0.38377791,0.40999932,65648647.87,1043450843.47,2021-04-04T23:59:59.999Z
0.4102707,0.48523097,0.39689026,0.47914795,204055275.17,1219434550.63,2021-04-05T23:59:59.999Z
0.48230317,0.55577203,0.44548756,0.45843041,324991546.25,1166708268.17,2021-04-06T23:59:59.999Z
0.45699377,0.48286333,0.39988278,0.4141999,154134438.61,1054141331.12,2021-04-07T23:59:59.999Z
0.41561738,0.45616399,0.41078994,0.43684764,100491899.78,1111779982.85,2021-04-08T23:59:59.999Z
0.43714306,0.47545769,0.43144661,0.45192145,94911964.72,1150142931.14,2021-04-09T23:59:59.999Z
0.45256309,0.47469868,0.42287025,0.43962074,84195088.46,1118837529.06,2021-04-10T23:59:59.999Z
0.4393974,0.46623733,0.42723428,0.45898834,73869577.23,1168128206.38,2021-04-11T23:59:59.999Z
0.45920613,0.46621847,0.42493665,0.4280397,73331481.92,1089363730.13,2021-04-12T23:59:59.999Z
0.42827097,0.44344974,0.41304313,0.41821042,72055412.47,1064348136.47,2021-04-13T23:59:59.999Z
0.41749891,0.44082904,0.38883472,0.41822377,84540137.35,1064382109.17,2021-04-14T23:59:59.999Z
0.4177005,0.458396,0.41210383,0.44712265,98193678.24,1137929937.73,2021-04-15T23:59:59.999Z
0.44454733,0.45923435,0.40881688,0.45923435,98853277.61,1168754306.68,2021-04-16T23:59:59.999Z
0.45607675,0.57309164,0.44231026,0.49974937,389379989.27,1271865275.51,2021-04-17T23:59:59.999Z
0.50068613,0.50996192,0.3467674,0.42212723,225907965.77,1074316437.78,2021-04-18T23:59:59.999Z
0.42339427,0.43350502,0.35997735,0.40053947,138917139.79,1019375474.68,2021-04-19T23:59:59.999Z
0.4002839,0.41761271,0.35755021,0.40061385,89039074.37,1019564755.77,2021-04-20T23:59:59.999Z
0.40071733,0.40787118,0.36800599,0.36903468,62663498.01,939195573.87,2021-04-21T23:59:59.999Z
0.36817944,0.38992331,0.31446969,0.32860225,79066768.57,836294790.01,2021-04-22T23:59:59.999Z
0.32789466,0.33694011,0.25009779,0.31498925,111997183.02,801649623.79,2021-04-23T23:59:59.999Z
0.31539302,0.32023872,0.27661576,0.27744589,47956618.66,706101538.76,2021-04-24T23:59:59.999Z
0.27795665,0.32378406,0.27790358,0.30601597,52335710.72,778812570.9,2021-04-25T23:59:59.999Z
0.30567184,0.41501927,0.29669638,0.38492635,153502890.77,979639975.63,2021-04-26T23:59:59.999Z
0.38539632,0.53357696,0.3782675,0.52577299,305764294.61,1338095559.28,2021-04-27T23:59:59.999Z
0.52602066,0.61517151,0.44796834,0.58663888,512513058.49,1492999630.94,2021-04-28T23:59:59.999Z
0.5922967,0.72757619,0.57767161,0.57920298,688442460.18,1474075229.57,2021-04-29T23:59:59.999Z
0.58111625,0.79499329,0.5634908,0.74155992,704024303.55,1887274635.59,2021-04-30T23:59:59.999Z
0.73946384,0.83899041,0.69490137,0.80588595,536846258.72,2050984793.66,2021-05-01T23:59:59.999Z
0.81163886,0.84561939,0.74394507,0.75387576,341022111.85,1918618534.9,2021-05-02T23:59:59.999Z
0.75348635,0.78596864,0.70525313,0.71040915,286477780.13,1807995747.87,2021-05-03T23:59:59.999Z
0.71071692,0.76303951,0.63327893,0.65185017,355720220.07,1658962773.22,2021-05-04T23:59:59.999Z
0.65031354,0.83674971,0.64243384,0.78224277,449514431.78,1990812765.25,2021-05-05T23:59:59.999Z
0.78299182,0.81318303,0.71279234,0.73069528,226545511.33,1859624076.89,2021-05-06T23:59:59.999Z
0.73108301,0.78876046,0.68684984,0.7803865,183652845.63,1986088540.3,2021-05-07T23:59:59.999Z
0.77522387,0.93799319,0.77003255,0.81849518,584185199.97,2083075377.84,2021-05-08T23:59:59.999Z
0.81538977,0.93799947,0.72873949,0.91600917,476228313.46,2331249084.33,2021-05-09T23:59:59.999Z
0.91706335,0.95705007,0.69994255,0.7717397,356706323.03,1964082365.15,2021-05-10T23:59:59.999Z
0.77024044,0.81007162,0.71127466,0.78609973,247498809.67,2000628732.12,2021-05-11T23:59:59.999Z
0.78751792,0.7893235,0.60112921,0.60112921,271390927.97,1529877602.23,2021-05-12T23:59:59.999Z
0.60005923,0.7020473,0.56691886,0.62116868,229052191.27,1580878189.27,2021-05-13T23:59:59.999Z
0.61769234,0.74076733,0.61407304,0.69167116,213555342.77,1760307440.35,2021-05-14T23:59:59.999Z
0.69115294,0.73400077,0.61011832,0.61256433,179673469.89,1558980051.74,2021-05-15T23:59:59.999Z
0.61318479,0.72707917,0.5875076,0.63040912,219820909.26,1604395164.92,2021-05-16T23:59:59.999Z
0.6309978,0.63637381,0.54323016,0.58121476,141705896.88,1479195200.74,2021-05-17T23:59:59.999Z
0.58009501,0.70954821,0.57346437,0.68090725,182501510.73,1732913234.01,2021-05-18T23:59:59.999Z
0.68357069,0.76240915,0.29002765,0.39918296,454055353.56,1015923128.49,2021-05-19T23:59:59.999Z
0.39493175,0.50807856,0.33390932,0.45080904,232115004.19,1147311830.79,2021-05-20T23:59:59.999Z
0.44866797,0.47967338,0.30557359,0.3520494,141875794.7,895967938.36,2021-05-21T23:59:59.999Z
0.352522,0.36613641,0.29023531,0.29023531,97490354.24,738650683.24,2021-05-22T23:59:59.999Z
0.29092547,0.30284652,0.18409338,0.25238426,189918847.65,642319525.12,2021-05-23T23:59:59.999Z
0.25220569,0.35385759,0.25220569,0.34206687,190572009.78,870562320.8,2021-05-24T23:59:59.999Z
0.34326567,0.36788317,0.28766496,0.32988678,126933914.57,839563935.16,2021-05-25T23:59:59.999Z
0.32963989,0.40479789,0.31614317,0.37868298,151685678.99,963750553.22,2021-05-26T23:59:59.999Z
0.37757285,0.37905777,0.32326975,0.34637122,88762419.58,881516926.8,2021-05-27T23:59:59.999Z
0.34761157,0.35125569,0.28775852,0.30375325,93552959.97,773053922.04,2021-05-28T23:59:59.999Z
0.30370798,0.31785781,0.26343882,0.27598149,48961693.25,702374635.9,2021-05-29T23:59:59.999Z
0.27603368,0.31190318,0.26337959,0.29499222,53361138.61,750757053.88,2021-05-30T23:59:59.999Z
0.29507309,0.32438923,0.27459032,0.32089732,56067703.88,816685688.42,2021-05-31T23:59:59.999Z
0.32087474,0.32928474,0.301122,0.30897425,55486840.8,786341392.8,2021-06-01T23:59:59.999Z
0.30948682,0.36620739,0.29735806,0.34975389,102190586.4,890125839.71,2021-06-02T23:59:59.999Z
0.35015326,0.40209861,0.3434961,0.37980985,122116811.08,966618446.6,2021-06-03T23:59:59.999Z
0.38182548,0.38217276,0.31588924,0.3353503,97862929.65,853468615.73,2021-06-04T23:59:59.999Z
