Collection Name,Floor Purchase Price,24h%,7d%,Total Float,Floor Cap,Volume,24h Volume%,Sales,24h Owners%,%Float,24h supply%,image_url
mev-army,0.125,-10.71,-32.43,10041,1255.13,2,-0.33333333333333333333,14,0.03,3.31,5.06,https://lh3.googleusercontent.com/B8rd2_-577LEP2oOkUg0-uDtOY9mby-f6oQVYiLdYqXO63pZY-Xj2F8VRrY2oQ22cOI9K_P0LnKSorTu1QCRiP-nsWsGdHYxka9mSpg=s120
mfers,2.7,-11.47,-47.06,10040,27108.00,223,-0.11507936507936507937,68,-0.26,9.96,-2.72,https://lh3.googleusercontent.com/J2iIgy5_gmA8IS6sXGKGZeFVZwhldQylk7w7fLepTE9S7ICPCn_dlo8kypX8Ju0N6wvLVOKsbP_7bNGd8cpKmWhFQmqMXOC8q2sOdqw=s120
midnightbreeze,0.35,-15.66,-51.39,6975,2441.25,21,0.16666666666666666667,34,-0.24,10.48,-10.09,https://lh3.googleusercontent.com/6I3ubH_YUJ11z5yuG32r64zr0O3eKfU-nV0H_uttY-YKzF7dYurcjBt32DzLY32E-EIhmJmnPbcGKfh0x2AiUIG5_Ol7JhckTpIhuA=s120
mindds-collab-land,0.045,0.00,0.00,19,0.86,0,,0,0.00,84.21,0.00,
mirandus,0.079,-10.23,-12.12,196,15.48,7,-0.65000000000000000000,35,0.01,71.94,1.44,https://lh3.googleusercontent.com/zH2rP3EBA9cpYdlxCkQhLAiJzqyoIIkQ6ex5YkbRczElE6H4-suVezS7gOkM143PFcns_WYvN0qwWKF2eJAL57t_0COOK5VGP5Y5Bw=s130
mirror-editions-v4,0.3,-40.00,200.00,1026,307.80,0,-1.00000000000000000000,0,0.00,0.78,33.33,https://lh3.googleusercontent.com/e6vU36_YBppNVtes3dH4EK44HlzhyfyYnb28urRb2JkG3ksxgPw-QZ_1kfY8IFWGmGTiF6_rzr78pEdI1DtkwhHOsGwnlbnD4Ohc5A=s120
monacoplanetyacht,0.07,1.45,11.11,10074,705.18,1,,7,-0.02,3.95,-1.24,https://lh3.googleusercontent.com/vJk7zt1ljD3bxJgwq4GLhuJmb9ewauGna8hC6NGJATzIE9aTtdYV57j7hgOV88F0KP1Dtuw8Z3ynFcldJOsr5gmFeRp7ja9ez3UJpw=s120
monaverse,0.1234,-0.48,-17.73,1234,152.28,0,-1.00000000000000000000,1,0.00,10.05,0.81,https://lh3.googleusercontent.com/4WGPtyVixM80Ue66q_RsZEWT8ZOl33UvaAlXDQkhoDeat5P5lv0QkP4fK3Ujrg6gta-J73Xt19EoH91G6YapzNXyIiIbuik3j4i4Zw=s120
monftersclub,0.06,-7.69,-33.33,8008,480.48,2,0.00000000000000000000,25,-0.17,6.03,5.23,https://lh3.googleusercontent.com/KUZalmED_mjRT6y3sMLzSR4NwWykAXW-msyNlWzss1hIgsKV4v3LSzUKglU5OJS-MM0m2uLURqTrQNoxOb3u1prRXay1_iOwIllAWe4=s120
monkeverse,0.036,-2.70,20.00,3359,120.92,0,,3,-0.06,4.64,0.65,https://lh3.googleusercontent.com/tg9kYR5tW3acrZInDc1iOBiORL5kwzwRlEQBPlLWHAMkwDuTIIZO3XhhUY8VcgG2QdO8UOmqgCfVKweqOaG1pK72kzG01jXUcneOZA=s120
monsterapeclub-original,0.10699,-1.84,12.62,7972,852.92,3,-0.66666666666666666667,20,-0.16,5.51,-6.79,https://lh3.googleusercontent.com/iXOXEXycCgZgBhc-Ry8s7k2x2TSG87Q0wqOM1l72dIUUh7wLF_d4K9SqWxRNjfcwDmjJPhoEeplHrMREyqYqndBvwtH-JsJc4rIJ4g=s120
moodrollers-by-lucas-zanotto,0.372,-7.00,-9.27,5027,1870.04,26,-0.38095238095238095238,69,-0.07,5.77,1.05,https://lh3.googleusercontent.com/wE6ocgRIw10NH7PtlQJXlTvYTuO3gplXVE14Rz9XWCsQkHBnxa9PlNdIY1G1hxmSrsO0ds5EQFpiKzsETqT-UgmlzBjAncU8Cxfe=s120
moose-trax-nft,0.0049,0.00,-2.00,10004,49.02,0,,0,0.00,0.40,8.11,https://lh3.googleusercontent.com/arO6hln9deUaQBUJeH9wRnIyOW6Lncmjq1qanIgzRFN_r0DXsi0usEBpXAsWwRCeXzLrUWIiAWNKJI7c0UMU6SPyGUnMNHrF4WMHxA=s120
more-loot,0.007,2.94,0.00,125137,875.96,0,,24,0.33,0.73,3.86,
morethangamersnftmtg,0.127,-5.93,-8.63,10119,1285.11,7,0.40000000000000000000,56,-7.67,7.48,2.99,https://lh3.googleusercontent.com/NKIm3YiJegP-njvy3m6Fwq7MvGmIvHCngCeY_TwFaM01AxFUO9OESvwH6JNRiNIdwitaswS65gQmQk-uiJhZ2zi2m274wVvUaOk7-g=s120
mutant-ape-yacht-club,17.8,-3.21,-2.73,16403,291973.40,384,-0.02040816326530612245,19,0.03,6.21,-0.29,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s120
mutantcats,0.19,-14.41,-34.48,9999,1899.81,3,0.00000000000000000000,15,0.36,2.25,4.17,https://lh3.googleusercontent.com/Cg3lUE2P3X7MhSKMROVOjvHkeNw_IWvH8aEyyK3hi9Rxh9d4eyxR6u7KEwRcpBKYq00WPjyYRdyyIdal8TOvsAZfYbeH8IfoZRUw=s120
mutant-garden-seeder,4.19,0.00,-3.01,515,2157.85,3,0.00000000000000000000,1,0.00,2.33,9.09,https://lh3.googleusercontent.com/mY2Hg89KV-nwuseqgRuoPlypStnzyejeLkh6vg0_UPjp1GNYv0AldnvotDwGu67zdwxmcWefUZKrnX57vb0OPK5m5CRFawAGcHZuSQ=s120
mypethooligan,0.94,-8.74,-13.76,8888,8354.72,21,-0.44736842105263157895,19,-0.10,5.42,2.12,https://lh3.googleusercontent.com/cdJmA0q7yBVaohfUK7AU1q7ZpeBiC5wt4nh6wRFmpQbGcYM260IP9NFPErTJs-Va0Z8x02EHEH-0wUdydBGZY2yj4akcFk0UjvAjaw=s120
naturedivas,0.2,0.00,-20.00,100,20.00,0,,0,0.00,8.00,14.29,
nbayc,0.03,-18.92,-26.83,5032,150.96,0,,2,0.00,6.30,0.96,https://lh3.googleusercontent.com/Ik8f2W4IVIel56eHzmopkkzNOOhbIrgGor3fBpXFD_3ehGPxibgQOXXCJIyOhuHtsNbOdS9jKe9w7rOsGskseSCRSosuRoPOVFnN=s120
neotokyo-citizens,17.4999,16.67,16.67,2023,35402.30,18,-0.65384615384615384615,1,0.21,3.71,-1.32,https://lh3.googleusercontent.com/NAHUqJSZROBhWJ-L8CdaJhgCwvTDcAqj92AdC_A0d5K0d_y8f1yc5YjjD4BstlEjPGkVLamgWK7QKW7VSSK5Vn2xoaqRwTcZhI7p=s120
neo-tokyo-identities,11.49,4.55,9.43,2018,23186.82,10,,1,-1.59,0.59,-14.29,https://lh3.googleusercontent.com/MpVB_fMVj64RvgqdPhbVOuul-QLYrYVFqd65_0hqTTvrHGl_foGn-_NIz7YU5P74oCNIk-CyFi5hb2EqKpb2w-cKZ58-Ds2mqfGPcZ0=s120
neotokyo-outer-identities,2.55,-12.07,-30.14,3675,9371.25,30,-0.68085106382978723404,11,-0.19,3.54,6.56,https://lh3.googleusercontent.com/fmy3rZQgswpkd5TV3QWl66JG3SvIPGhWDtHr3dKKi15EAUb96k-lKFsi0amKXyJv9Lh7xnDBHG0Btq--bIorfDfL0dJ39RVQYofU=s120
neo-tokyo-outer-item-caches,0.325,-10.71,-35.00,3929,1276.93,7,-0.30000000000000000000,9,-0.11,3.54,2.96,https://lh3.googleusercontent.com/fmy3rZQgswpkd5TV3QWl66JG3SvIPGhWDtHr3dKKi15EAUb96k-lKFsi0amKXyJv9Lh7xnDBHG0Btq--bIorfDfL0dJ39RVQYofU=s120
neo-tokyo-part-2-vault-cards,2.75,0.00,-16.67,2500,6875.00,3,-0.40000000000000000000,1,-0.49,2.12,-3.64,https://lh3.googleusercontent.com/fmy3rZQgswpkd5TV3QWl66JG3SvIPGhWDtHr3dKKi15EAUb96k-lKFsi0amKXyJv9Lh7xnDBHG0Btq--bIorfDfL0dJ39RVQYofU=s120
neo-tokyo-part-3-item-caches,1.45,26.09,-5.23,2483,3600.35,9,1.2500000000000000,5,-1.06,1.77,-16.98,https://lh3.googleusercontent.com/fmy3rZQgswpkd5TV3QWl66JG3SvIPGhWDtHr3dKKi15EAUb96k-lKFsi0amKXyJv9Lh7xnDBHG0Btq--bIorfDfL0dJ39RVQYofU=s120
neo-tokyo-part-4-land-deeds,3.0,20.48,52.28,1929,5787.00,3,,1,-1.32,0.83,-30.43,https://lh3.googleusercontent.com/fmy3rZQgswpkd5TV3QWl66JG3SvIPGhWDtHr3dKKi15EAUb96k-lKFsi0amKXyJv9Lh7xnDBHG0Btq--bIorfDfL0dJ39RVQYofU=s120
next-gen-alpha,1.0,0.00,-25.37,10,10.00,0,,0,0.00,30.00,0.00,
nfteams-club,0.14,12.00,-3.45,10005,1400.70,3,0.50000000000000000000,19,-0.14,3.16,-0.32,https://lh3.googleusercontent.com/9uAAp8wwp43tnoZrl53WQz64tdfXpSklxI0ramhD_sNuTleD3rihYwD2Ozkd-Uw9sZomVUeUr0Y2YJzNLNljK3nMAjQD1PicazjOuKs=s120
nftrees,14.5,-3.33,-18.77,428,6206.00,16,0.00000000000000000000,1,0.38,7.71,22.22,https://lh3.googleusercontent.com/kKYNGoWd-qwSwP3vGX8OWFjONJkcaorIorzMfKTixENb2P13qKXlAFH0e3jzs4IAFseTgIM8x-lSTnXFmu8oFTmbZzcImEN4SInrEQ=s120
nftsiblings,0.05,-12.28,-19.35,10100,505.00,0,-1.00000000000000000000,2,0.04,2.43,3.81,https://lh3.googleusercontent.com/TVmRo4_yVDKVcY1CBVHB5Jtp2c9697T4mjKne1aoEXdB35jeKqkMlOPaqKX9VlHg2wwqA0kPtoUheARFLRRZDV1d7OCKjV0RaESWNw=s120
nft-worlds,12.85,-2.65,-14.33,10007,128589.95,663,0.43506493506493506494,55,0.09,3.08,-9.14,https://lh3.googleusercontent.com/DIafQlRW63pQ8UJqmdQBBOHZcubAE9rAkbovVx_WU_-TmIg3hF7z0y60gUGvah85_uYVgBxmhNfWUXwajaUmYZsrCPp8ZdYE0Z-wrt0=s120
niftydegen,0.69,-0.79,17.19,9915,6841.35,8,-0.80000000000000000000,11,0.00,4.07,6.60,https://lh3.googleusercontent.com/eJhIV33weRWP-pYJq9GUQtccP5WYtRWCuZKfzqX3HiclTx_3YOrCQ3nR34LPK3YpU49ezSXRdaCV4VyG53FXIa0aJyo1YkDQTYGLGw=s120
ninja-squad-official,0.35,2.04,19.09,4468,1563.80,15,2.0000000000000000,37,-0.06,11.62,4.01,https://lh3.googleusercontent.com/xVyUwQMXGvCha3V8UQ1laIx5tfwpmR76Bu1L0oaNKHfxz0FS_t5Y6wRlXBTFqZNlGb0ixL4_TSifMtjQUgv25ZPuTHaFVNitFGf4Dw=s120
nomadblvd-mintpass,0.11999,0.00,-11.12,2,0.24,0,,2,-0.50,100.00,0.00,https://lh3.googleusercontent.com/8cWwLa9DIFcjUbPf6CVuYzY6WXNYxdA8c74uZiFef1pQb_VrIfI2_yR8QgQvv9OuKOa9rokwej1gKi2TD2WdtRLu4FvXc9N7GCDQYA=s120
nonfungiblefungimintpass,0.545,9.00,-10.66,10008,5454.36,0,,1,0.00,0.19,5.56,https://lh3.googleusercontent.com/9fCTuUfwLsCNdyq7fHFV7DcSR79vKgqPUxyBN3_yv_40D-cUIJYSHXXFHefYxDc4FcnMvARpFIOvkmrjjCrI3ErZ6ejmOrJG65vsiQ=s120
noodlesnft-official,0.3,15.38,7.91,5571,1671.30,20,0.11111111111111111111,59,-0.28,8.63,1.26,https://lh3.googleusercontent.com/8vTyYTGKjVBrFj_eJXpVTp7riIkXvidRcGtFSecKKQlX3Vg5E8et9EyVadDrox8zD-m3pt3-RgOoEbxuKyKh3n6IPlm8CKwdv5h5bRc=s120
northern-guilds-guild-of-thor,0.11,182.05,218.84,9999,1099.89,18,8.0000000000000000,172,-0.57,2.79,74.38,https://lh3.googleusercontent.com/AA4jfmC4sgI4Pud3ZlIykBwvcYL4S_-k6iF1JuRmh86HZ6yuDTfrQkXN36Srw2-IHSSBu41mLwyJrPoYApFv4H73kqvjN_WmuFOp=s120
noundles,0.079,31.67,58.00,7508,593.13,3,2.0000000000000000,37,-0.52,2.90,5.31,https://lh3.googleusercontent.com/ZA4pTP4xFgbkUD20fKowpiL_hKu3DU7IFDCL24_gakFFM_ed3vmKrOWgZ4W9Cs0nbm4Bwz_5XtarptzBiVjEk0PDaLgOAWtuUU0Bxg=s120
nounpunks-eth,0.0288,-3.68,-28.00,9982,287.48,0,,13,0.05,5.74,7.50,https://lh3.googleusercontent.com/meJRoR8SF9Q8yNRjc46aH_-ElnqXe4PFwxTL9fWT66x8grPGdm1aTpDmERLwZ_Nm63826dSw3CKx2HmVR6RYH_wRDJd5FFp0UPWFoQ=s120
n-project,0.09,-10.00,-10.00,8890,800.10,0,-1.00000000000000000000,0,0.05,1.39,36.26,https://lh3.googleusercontent.com/rOLWXiow7qkegT4oWCZ6FbWQ4cS93LofGsTbfdv2__OKpK9NUVQGY0smUytISRGAp4B7iODaJ4lsK25FtHCLdeUMX5QHYgE79HrmDQ=s120
nuclear-nerds-of-the-accidental-apocalypse,0.4,-14.71,-37.50,9007,3602.80,20,0.17647058823529411765,35,0.00,6.68,-5.64,https://lh3.googleusercontent.com/2Gnyi4SN2VmQ33byM1N9jMqEQtcMnmiaToZw3FI9jW1mlfNnl21mms5J07VBxVO4tjYvii0Zx9z0qEW_FmnQ-llE2X-uv_uogG_DEpk=s120
