Collection Name,Floor Purchase Price,24h%,7d%,Total Float,Floor Cap,Volume,24h Volume%,Sales,24h Owners%,%Float,24h supply%,image_url
pepsi-mic-drop,0.47,-6.00,-21.67,1612,757.64,2,1.00000000000000000000,4,0.08,11.48,6.32,https://lh3.googleusercontent.com/FFdqBWESVvcbuDddU32Y0ke99NYvjNEJiIvuc9T7nqV1_Z3_uDUVmj2bJqY07toaq2twkv5l-3ml2avuF17pzB9ib3dXFojcDlHZXN0=s120
phantabear,0.888,-14.62,-30.63,10006,8885.33,69,3.0588235294117647,78,-0.26,7.15,8.17,https://lh3.googleusercontent.com/1wTnxFx6paNeV1lv_ht10OFpDucUhg-fL6IZbPrai3Jf_3pHS5dSazhpU_UBn2BVQBUEffYAeoo2iVbCu9LPeUDhmwZwt_7J4xpdrQ=s120
phlow,1.35,-72.45,285.71,65,87.75,0,,0,0.00,10.77,133.33,
pixelglyphs,0.035,-10.26,-10.26,10014,350.49,0,-1.00000000000000000000,7,0.00,1.38,20.00,https://lh3.googleusercontent.com/bvpgPZrqKmFlQDZwvdAyAbS4ct_aN5LirjUNvVhXvXh5HmN_nKvBzfJ_Nt6INKfH_ciKFe2lDo9F8d0vyhc6LFy_2xEM1UmRhbzh0Es=s120
pixelmap,1.69,-3.43,-6.11,1633,2759.77,0,-1.00000000000000000000,0,0.00,2.14,2.94,https://lh3.googleusercontent.com/VXQchy1eK9Abho19qDMfMNMfe7I7GirF41BLbynEuFBGpMZwnv2OpE18g_U9Py5LNTaxiIRxXBp1RMqi_y6-Az4PLfcpvjbkKpRY_0E=s120
pixelmongen1,0.37,2.78,-70.28,10005,3701.85,472,1.00000000000000000000,494,-0.49,10.66,5.75,https://lh3.googleusercontent.com/hqDSpTYhSy--C3l8Q0yKGGCs1h9DSwlqvNGK3WXh3QS-ce-VYWOfo-F8unGDdGhhJA6v8Vqw6mYyMr8MPecCEYHVAKXh4tn24THo=s120
pixels-farm,1.09,-5.22,9.34,5004,5454.36,55,-0.16666666666666666667,45,-0.12,5.46,-2.15,https://lh3.googleusercontent.com/W3vxS7fioumIQy8-t9As7h8a8uxufNnLRbLVl3PTQ32eBW8papu5C0AeBhtM_fvsFnomdn9WQLJVBPhQOiwo7z7oV1c8oYQR_DRe=s120
pixl-pets-genesis,0.165,-13.16,-17.50,15000,2475.00,48,2.2000000000000000,186,-0.56,4.69,24.20,https://lh3.googleusercontent.com/8NDyUGiRJUFFs62PCW6XDubAbX-UPDT7oStqmhgZSpbO1SZ4Z0wG8yJgAmrquKo6NNiKBRW-1A2HW3SWfdk2P5fLkJAz_5gutmFyv0o=s120
plasma-bears,0.3,0.00,0.00,1503,450.90,0,,0,0.00,7.32,14.58,https://lh3.googleusercontent.com/kzt4lLohWixAE-fhb5SlArkHOo-RtxLg8kJJI3898-1xbotOCW-htYIt3ILcTEFrM_BHSj4MCN-h6Iv3CqVARaY=s60
playboyrabbitars,0.1,-8.68,-28.32,11982,1198.20,2,1.00000000000000000000,12,-0.02,4.01,-2.04,https://lh3.googleusercontent.com/zAil_qoF9TK1Kv0rADui1JfWF4-H3AmAwDNWPJokn5Qhx3AeZ2s4k9bPgGDPxVyXAJZkRvrapw6aa_pdvsYZWKInUxP1x4Q0XABHsg=s120
playsherbet,0.159,-12.64,-20.50,7777,1236.54,13,-0.51851851851851851852,76,0.00,6.97,-9.36,https://lh3.googleusercontent.com/fKLZ_hNvH7yruvvMtGrZiwrUplC2o7TYBjkmvHRaS-mI-gLSaBZgRNvWe2eI9mZEOWqAdu42ba_jQGpz6cf_IH7ORl3kPc5OPQUl=s120
plugpass,1.85,-3.14,-7.04,1,1.85,22,0.29411764705882352941,12,0.12,100.00,0.00,https://lh3.googleusercontent.com/KNsUAghToi2skxWJ87-kChb2_d0LNx3jVyj6Uy4NzYnq3q_sHhAa_nNKG37hgtmmihdx5cMYXY7VSzjZHEdexkDhFqEXZcfrdgQj=s120
poolsuite-executive-member,1.05,-4.55,-11.76,2500,2625.00,2,,2,-0.10,1.84,4.55,https://lh3.googleusercontent.com/p2lvRuQZalsroxpmS-q57pGRzyseAzEkLOGGsR6N6tXh_d4x6osxQtZBKqUMRreepnXJcuR80d-9YRIeMy5XnEsPp8aQQcWOyyPqjg=s120
popartcats,0.185,5.71,8.19,10040,1857.40,28,0.33333333333333333333,146,-0.56,8.27,-22.14,https://lh3.googleusercontent.com/lrB7SS2lKrWipQ7-dHyRIyiOr_taPcoppUbGl-65wM3FVySOlR6DX-c-7J4ZH5rbMdkadhj-DqXds6WViznM2kpylOe-GYPqQAYvTg=s120
primate-social-society-official,0.0399,-0.25,-0.25,10000,399.00,0,,1,0.00,2.62,7.38,https://lh3.googleusercontent.com/cGZDhzDL6hiSPHeXhFNuLPEILQBsGEu8KqFjHizUGCuWpDAbSqGzIrJspePNemKf0n2ecccXP2MR477JBKNyio3gXYrcP3ltSjxrgA=s120
primeapeplanetpap,0.84,-1.18,-8.10,7952,6679.68,14,-0.06666666666666666667,14,0.00,8.82,-7.40,https://lh3.googleusercontent.com/Elp_bWKH4be7BFwUbM84JhRgggPwP1XM1akHPJsTksP88BJoY9NWt2ECMZpY-rI3l9wrNUFdekGVC7-6i4vn4Al4f9iQt4JgZ6Mgxw=s120
prime-kong-planet-by-pap,0.135,-10.00,-32.16,9583,1293.71,7,-0.12500000000000000000,31,0.00,11.40,2.34,https://lh3.googleusercontent.com/WOG6cvt7zNSOGg96Ig2CupQVk6gK9cLOlIJ70elJE9fbGRmGqAi1toiUVAHdchDTErQZtRW-JbjZGstYaQXWhyixxS4s7Nky0wlR=s120
project-draca-genesis,0.0585,0.00,17.00,997,58.32,0,,3,-0.38,4.61,-4.17,https://lh3.googleusercontent.com/hdRE8Oh5YDalX5uEQljZ9V5TWZ8JyTzJB_75Dzg0YFy6lKynqgpQCY3WJrDSl_lQsIyU7TCyD1cuL2FNHyYyXLEvywp8mQYvtS1ZQg=s120
projectnanopass,2.188,-0.55,27.95,4467,9773.80,92,-0.15596330275229357798,41,-0.15,3.49,8.33,https://lh3.googleusercontent.com/fZ4I5g6uU4pufmceGnEd8Z60OBlHwYWI2gJKnrlaJCO7WW1c1kUyL17oh7culsru9Yy6sbiMT8x9-DY2uQMZhDDW8aSyddEOsV6dpCE=s120
proof-collective,31.0,14.86,4.55,1000,31000.00,83,2.0740740740740741,3,0.00,2.50,19.05,https://lh3.googleusercontent.com/ipAyQg6Xlgvwxma0Qp0a1gqdsZepRvHR4ZLsPN3mOFvIR1aznNiWFEgba2gcVqQwJS5BoJilLPrA2DRq2DVOnwKc3tDovmEdjR4qb-0=s120
propertysofficial,0.115,-10.85,-42.50,5802,667.23,1,-0.50000000000000000000,5,-0.09,7.20,3.98,https://lh3.googleusercontent.com/S2eWtySbzpRw_A-1t2MF99HQRp6w19m8cwDZDbCrbIibW2OZuNWDVfEm_IQfAh2NDJ6b5VBnxe2KkCxnHjjMz2IbQHT-X8XFqytuAoA=s120
psychedelics-anonymous-genesis,3.44,-4.44,-4.44,9352,32170.88,65,-0.19753086419753086420,16,-0.07,5.39,5.88,https://lh3.googleusercontent.com/lgtTOxFxyk-IpOEZSbanzXxvnmtE2x1EhAvd79xCEzn7GkDJ3sAt7CzZNukX7u9cfR4dyy-eLiYfLc2W81iS6YS3CLj8w7hwtGvZxA=s120
psychological-dimension,0.11,0.00,0.00,148,16.28,0,,0,0.00,25.00,8.82,
pudgypenguins,0.96,2.45,-12.24,8893,8537.28,16,1.00000000000000000000,17,-0.14,4.15,1.37,https://lh3.googleusercontent.com/bcCd1TfusKK6wWjmshwmizmY9j7An3pp9kxopMxfIt-_I8WFnSIK-5gevOduoYK4Qpq2e3DyXgROKNfkP396W5ViEYXhxoyAZG3s_vY=s120
pulsquares,0.98,0.00,-16.24,474,464.52,0,,0,0.00,4.64,0.00,https://lh3.googleusercontent.com/xxj91bWuZtTnnFG0jd68qyES40-92qUQb7Egu8ue2ezDuUC8aWXPodgMxjODra0ea98smBZzAjDt4dW6wbg1m4o2rIFUU7uw41oTEQ=s120
punkies,0.25,0.00,177.78,100,25.00,0,,0,0.00,2.00,0.00,
punkscapes,0.143,-0.69,-4.67,10000,1430.00,1,0.00000000000000000000,6,-0.03,2.98,-0.67,https://lh3.googleusercontent.com/L1CduEHBecEsl70ru38k9ozXiRcnZTlvq3RI3EhbQEVQHmAr3ZKXI6gAn6u92jCLmsY1nXsKEqTVcWaWeWCuDRTqac_rnofflexKwA=s120
punks-comic,0.15,-11.24,-14.29,9294,1394.10,25,3.1666666666666667,19,-0.05,4.27,83.80,https://lh3.googleusercontent.com/ejZNFaWsdUnmzbafD0TRf0RoIX9NiyaCRii_j7PhCnYa8CBW2SzGEjn3RDg4k3gYvFY8T5_cosCj7ozT69zELByZ5OvqoaWCi1LrJG0=s120
purrnelopes-country-club,0.3,-8.81,21.51,10000,3000.00,2,-0.50000000000000000000,6,1.54,2.35,5.86,https://lh3.googleusercontent.com/5yYsbRGh47Mnml9Fxca7TLJL6jtqTEIrgkGYwxBs2Cn4zam3EsVHJCakLcJ2riWbH6xax9bbgYA_mjqcSj0X5PEY-OXAUHY98m3Jdw=s120
pxquest,0.27,-10.00,17.39,5009,1352.43,76,1.9230769230769231,224,0.68,7.71,67.83,https://lh3.googleusercontent.com/7lWzGgt1-MGsInwTwUOQCvzi_po7c2R1cypRI5EiJSgQksMffnCQguDYo4LJGA19QV7BfLNKeLlZfhzVx1tk3LklOM54U4shemHprg=s120
quantum-curated,0.8,18.52,100.00,682,545.60,18,1.2500000000000000,8,-0.12,44.57,1.00,https://lh3.googleusercontent.com/HhL3P-qUEGPv7diJNrC_UH12BWRwJBbpLzr8VuLFMXQryauJPXT7VkKLy2GwPET8ipoUxkVeaCSpQTs0nRxiC2xBLJZ5LVKR0jXC=s120
quirkiesoriginals,0.61,3.39,-12.47,5000,3050.00,111,0.44155844155844155844,145,-0.28,15.76,-9.53,https://lh3.googleusercontent.com/XS6RqsT7CBpoeX8vUmWkJYldMV6h0Ko7TpagNgFZ-nEh4yrMZFrpY4gtBqyuRDJV6mx2B0ssYxoh9Z9XlO770Xe8FNSu-kj-1EVzMQ=s120
raidparty,0.89,4.71,-1.11,2057,1830.73,21,0.31250000000000000000,17,-0.10,16.14,1.53,https://lh3.googleusercontent.com/xFWORGa69G8bUyY9cDTO-33PSBKd2Ua8GoPQj_0v1xyYgyUYRR05QJi7Fl4Xv75Vdxm-j8Ov5m9hIpR6tw246IGAOGP7vB4VTulYnA=s120
raidpartyfighters,0.399,0.00,0.00,6615,2639.39,17,0.70000000000000000000,35,-0.04,3.79,-6.69,https://lh3.googleusercontent.com/xFWORGa69G8bUyY9cDTO-33PSBKd2Ua8GoPQj_0v1xyYgyUYRR05QJi7Fl4Xv75Vdxm-j8Ov5m9hIpR6tw246IGAOGP7vB4VTulYnA=s120
randumbart,0.1,0.00,0.00,51,5.10,0,,0,0.00,84.31,0.00,
ready-player-cat-nft,0.079,-1.25,-1.25,4954,391.37,0,,3,0.05,3.65,7.74,https://lh3.googleusercontent.com/CKnfM8FTn_30ZWM-QoO19HPfYa8KYQrYhojjNr-RyKDm-HOxiRCICg1RgvFRwZjE6RXO7WhAnICgcXOhkWYHghAwPKIEuL3iCUT9JIQ=s120
rengoku-legends-samurai,0.15,-7.98,-13.29,8822,1323.30,9,-0.18181818181818181818,63,-0.81,7.69,4.15,https://lh3.googleusercontent.com/jdXA3bJl3Vld9aZdhOuKLmlbH1q3Imw2vCqITIOyDdXOmn-fpbU95dj8EwVNlxImAnsyfxgG4tzFZ8iLpZw2hCbd57c7zUmoGXIOux4=s120
reptile-armoury,0.245,-2.00,11.36,20002,4900.49,11,-0.38888888888888888889,44,3.83,0.69,18.97,https://lh3.googleusercontent.com/xZadnh07TDBG8WsyCNp1F14TCCfErxq0qmfeCcZPxufi_qsNM7NAXGB-QGvf9sC-MhAxCcq7H09jmfWFyLLouoBevEMDuCqA1PIN=s120
retirementclubnft,0.029,0.00,-3.33,4093,118.70,0,-1.00000000000000000000,3,-0.04,4.98,-1.45,https://lh3.googleusercontent.com/-YqLhIyZZXpMfxVoTbxmx7EtZvh0rI16FHpxHuACK0uMR-_OHA_bPS0JYKyopW5ZGSkfUABOF7t9dYMCJ6p830XiP-PdiT8345o2Dg=s120
robopets,0.1499,-8.32,-6.31,8017,1201.75,1,-0.50000000000000000000,6,0.05,3.29,16.30,https://lh3.googleusercontent.com/fy07Rgzu6zumIghB0XR1VYK1az5_DVkF3BK-sao4-_Eka_n1S1stJdq8HVqMN0qRq-i1032T6URxCQucOlgAKcQRiAkEXtC8Jp5b3A=s120
robotos-official,0.689,-8.13,-21.70,10015,6900.34,9,-0.43750000000000000000,11,0.11,4.09,8.75,https://lh3.googleusercontent.com/5PO4I0APxP3xVDiOlSWewhb7iVf5Hnp5trQ22EVCAiKkSAnBTu0u1W6UgELpQtxr0LQz4rfNaScadZ4279naNCd6rXzewLIRrfEa=s120
rtfkt-mnlth,5.499,-2.67,-2.67,1,5.50,264,0.29411764705882352941,49,0.09,600.00,20.00,https://lh3.googleusercontent.com/gp39NTyxBPazqowYV9XTFxAU4eNk1i7FlmonHW4Zr7eS9UxEvrZ7f04rOLEhDxcuGxsbUx1Rm_N6Ky_Dp4A1ZQYHFAaEWj5YdBF0qg=s120
rtfkt-punk-project-gen1,2.95,0.00,-34.44,488,1439.60,0,,0,0.00,1.43,-12.50,https://lh3.googleusercontent.com/ohMHQyczzcytYl9PybKJHZ3nWxJZdphYzaFdg3l3EQM-NZ1hzb5LnK3NBuASkHSfPpgMvLoS755djRwpCHHzVQyC7PsBwd9GACUE0w=s120
rtfkt-x-jeffstaple,5.0,-15.25,0.00,802,4010.00,0,,0,-0.20,3.87,3.33,https://lh3.googleusercontent.com/GI7544nzneZOLVmngy8gSJYhrLSnPdpfryTw20APrXhVXt3JbqnrHca42YJWlfq9DuDGcQF0SFzj4SyhnSpg19Uj0ABM1pLfJ5_4nA=s120
rugburn,0.99,-10.00,-9.17,999,989.01,5,0.00000000000000000000,5,0.00,5.51,5.77,https://lh3.googleusercontent.com/WQOt803E0zoMQHFQFbMBklxH2tjccjSbunZFnQ99jzUf4w2GXA0Kqh-K0eU_8SIm_X3ztvwXYFfIbI9tIWdq2mnTVW98IdkOuVSwY-g=s120
ruggenesis-nft,0.3969,5.31,-14.46,18999,7540.70,25,-0.10714285714285714286,58,-0.07,2.37,-1.75,https://lh3.googleusercontent.com/I4Jd-ET3UY7eKLYeC7WxrmJTsyxrsXHG0Zg_Yqif0vpFhO9oA6fMdzHX6ze0g4nzSFsjP7RZSyDMPUdeuJxDCjPx9moPzPJkqeVBeco=s120
rug-radio-membership-pass,0.078,-11.36,-32.17,19019,1483.48,2,-0.33333333333333333333,22,-0.03,1.40,9.02,https://lh3.googleusercontent.com/I4Jd-ET3UY7eKLYeC7WxrmJTsyxrsXHG0Zg_Yqif0vpFhO9oA6fMdzHX6ze0g4nzSFsjP7RZSyDMPUdeuJxDCjPx9moPzPJkqeVBeco=s120
rumble-kong-league,1.88,4.44,-5.76,10019,18835.72,18,0.38461538461538461538,9,-0.09,3.00,-1.95,https://lh3.googleusercontent.com/x18rNFBg9leLL9TtHkhhiC8cwIurh1UhMKU6TL_JMbGyUsY8MTMhyPiz8Nz7VRJHShEgIQlCP070UB9gGWvJ05ST7IclovIWnwAUww=s120
sadgirlsbar,0.14,-2.74,-12.50,10015,1402.10,1,0.00000000000000000000,7,0.00,4.81,3.21,https://lh3.googleusercontent.com/tDq_9Vqull9yDeWdotD818etAFEIJo8r893K-rEg_ZFTnBQGzzGAjk6SkMjrpADnmo7t0RKUE53j-uQnB72buAP0PgAB9tH6GIV9=s120
sail-o-bots-by-sturec,2.75,-15.38,-31.25,750,2062.50,0,,0,0.00,3.47,18.18,
samot-club,0.1222,-5.93,1.83,3037,371.12,0,,0,0.00,3.39,4.04,https://lh3.googleusercontent.com/nwVi3GRAFhaw-WI4SUluoVAac9rr06V8KvKMNSJdrIclhV6jPRk1POtXdioAveZNQ5Hlp2E7JnZtgAxsseM0yEgGKrqt5O0vCnlG=s120
samuraisaga,0.2,-4.31,0.00,10038,2007.60,5,4.0000000000000000,16,-0.13,2.19,1.85,https://lh3.googleusercontent.com/xTEYeliaqJ0F239BrFP3ql7Qmarc24KWIHTSDSQIPOjuuiTObPm9o7GOkH-oMx6YW2CqMQa9z4M-3J4iyaMMHeQZZdfrjx9pZYCq=s120
sappy-seals,0.8369,3.45,-29.08,10005,8373.18,24,-0.11111111111111111111,25,0.71,1.46,-5.81,https://lh3.googleusercontent.com/c_wASW_EH06TmUJTAfZ9HYAx8rhKbu3SbOqpHHp0OistKOTJcPDjhSBg3S6OM3HG9ivBpVVtSnKkNJKilZQCc_8V1kTG7JQDSzmWoQ=s120
savage-droids,0.077,-3.75,-3.75,5844,449.99,1,,10,-0.15,3.23,8.00,https://lh3.googleusercontent.com/8RJY7K-hWX0Cmv_HNnd2GZGKPlMHXr682AECe7dEELBT59down-uwNojACEHDgANjAIPebPSzA8m2ZrdWv61AEz3SVDprwvWs-9aOA=s120
secretsocietyofwhales,0.04569,-16.93,-8.62,10000,456.90,1,0.00000000000000000000,5,-0.13,3.90,6.85,https://lh3.googleusercontent.com/RTzhjIwchQs8PCNt6IX4ZI6-PK_eRcAF7weVymTNMkgkJZ7-Zq1ZEmiCcRTB1giduYVbuYGjffC2R6HZSlGAIKqhOlaH5Ie5ma0hHg=s120
shiba-social-club,0.06,-14.29,-24.05,7799,467.94,1,0.00000000000000000000,9,-0.02,7.23,4.25,https://lh3.googleusercontent.com/kfewBO8NsaP0WNHzOHkzbusosAa25KW2Vib76i-6UMdTLSHKDSEqUxqCIhZv9CEB6cYgLkIOVoQyOu54U1f4m_HHdtb2Wx7jjqdfOQ=s120
shields,0.188,25.33,25.33,5008,941.50,6,1.00000000000000000000,34,-0.55,1.38,-19.77,https://lh3.googleusercontent.com/YPrTXYJJn4SiRupatfXX2dzDVbOsSh2yoRVXuFOCpRA70aOkvGlg2rzGRl_U5reKUIykOxJzbCNXlQnwg3MW5Agk5OnAzUFJVZ0J=s120
sidus-nft-heroes,0.23,-17.86,-30.30,5143,1182.89,1,-0.75000000000000000000,4,-0.09,3.21,2.48,https://lh3.googleusercontent.com/_tNZXp1d9BS0reS9XsNDXP5PnyyB87SCTR9Oagif2IGr7tdUVlLlJunfCyGVNB3b-9K_03HBqnQlRMOliUQQ_IHRE1Gb9qRrKyhXIA=s120
sipheriansurge,0.28,0.00,-6.67,10006,2801.68,3,0.00000000000000000000,8,-0.05,3.36,7.35,https://lh3.googleusercontent.com/-V0eEOrC5W9AcbS_tvv_Ew9zp-Gf5WLS0WNdBGhd2b9CKVjO2IMDUsbN5uEzwxRuLpR_AiUU_TDfANQuh9uO-auOxW5Cdu435MFcKg=s120
skeletongues,0.038,-2.56,-39.20,5098,193.72,1,0.00000000000000000000,7,0.00,4.35,3.74,https://lh3.googleusercontent.com/CvejzDux3wKYtRniwi2Dw8GQspAny76mlVUYTSvZ4KKtA-DTgPEBWXHRiYhiPsF6P29A0J5biNEEkuX8vMqjJdjM6-ncLQ2Gb4FyTw=s120
skorge-alpha-key,0.0765,-10.00,15.91,971,74.28,0,,2,0.52,3.09,7.14,https://lh3.googleusercontent.com/19VaMdAfBvfFVMK5ThsleZtGUdZipFSWWA7cL4TF3BdjVgvL5SYspQ8DcPYKh21lQjW76T3Ol71Y7UVSdHJuSnscuNNkxWk5qU2GvA=s120
skullx,0.0284,-5.02,-5.33,10026,284.74,0,,2,0.00,3.43,5.85,https://lh3.googleusercontent.com/cv_UZYZ_yERwMhHWUXbnNzgiEHr8M7R6eB7ORFnFZ9hSP9jYCE1-OabwnXZJ4ODXPgJmeLqfpz24tI-MaOr5IDJO30Cu-IC7G8t11w=s120
skullx-aeons,0.1,-13.04,0.00,2000,200.00,0,,3,-0.14,3.20,16.36,https://lh3.googleusercontent.com/pbjEnbtgyVvLhaDVhmLAj_gZMaUMIVchlYV8_Nu1eDK7JkUGBZFriEa3APQPNskvavUt_Vx-BYNKzxFYzcgqIMD-P9Uh-V2FUkJ1=s120
skullx-editions,0.06,0.00,-14.29,2,0.12,0,,0,0.00,100.00,0.00,
skuxxversepass,0.379,-2.82,-33.51,7777,2947.48,47,0.06818181818181818182,89,-0.26,4.58,-5.32,https://lh3.googleusercontent.com/XwIn-1ZdQpG5KJ9TUIDDvzQxwIdk7xyYnP2077a2Y5bDs8hihErufVuVjYgJXzqnTYtlMMs0z5O-dQVJb9QFRou0gD27D0hfkGxBfg=s120
skvllpvnkz-hideout,0.05,0.00,-9.09,10000,500.00,1,,11,-0.12,4.36,1.40,https://lh3.googleusercontent.com/Lu9X9Rfwns4d95DzJZbVbplzz6me8rXFrD9_FIhLhx_DKSLJ6We026v2PJPPHsFMRTa1VZaqDQFkLJ1QUhcWQwtDmfB5xVeJmEXfmA=s120
slimhoods,0.54,-5.26,-22.64,5003,2701.62,34,-0.32000000000000000000,61,0.04,6.02,1.69,https://lh3.googleusercontent.com/_PXs9iFB8iSm40EfmsjJ_6VHZ7eescWHfZ_PVhinl8AFj26BjTh38iDW1Sr3bR3MU8wsTFD8tbXtaFVZPMRa9XNH-sucajGHNB2gkw=s120
slotienft,1.099,11.14,14.48,9701,10661.40,54,0.22727272727272727273,48,0.12,4.42,-3.81,https://lh3.googleusercontent.com/FDfJqrobmHVsLC6tNvjYv90xxRUPqG39zJqpjj-FpgKJJX5n23IegiO4lkqbATXRUxz2z8GGHa8qMN0cHqof1hx2xetxy6MobmKxkw=s120
smilesssvrs,1.14,1.33,-18.57,8722,9943.08,32,0.18518518518518518519,28,-0.11,5.49,2.57,https://lh3.googleusercontent.com/hbmc3V8YlN0_tslH9qjQRbj_dZpNzInzx-uY0t5LgQY-lrVBd9Rgv_KMnlxyAKE5ZTgoZhZYW3e3v2bZ2kOUYTKRdlFnfnErqs1EWHA=s120
sneaky-bat-syndicate,0.178,-5.82,11.95,8293,1476.15,3,-0.25000000000000000000,13,0.27,2.40,13.07,https://lh3.googleusercontent.com/KotCDfiV_JINlcKba388STkwDCGyJY7fLBcmhs3ZdmNyUO_TvnnHt2vCnt90SCUWIBO_LFioesfyaFPIy-UFn8cLVlh_EAfoHqXsUi4=s120
sneaky-vampire-syndicate,0.75,-11.14,-20.13,8893,6669.75,14,0.75000000000000000000,15,0.67,2.79,0.40,https://lh3.googleusercontent.com/--7LUBCbLndUydYh3_oeDZD5MMUIDtXyJD-EHy01qkMbrCTTFl9XMLyLsFfcHa7TeN6wR72R9WEnHgDJHjGTMmUaUlJWWZOa1ZsYLQ=s120
snoop-dogg-doggies,0.525,-12.50,-25.00,10000,5250.00,262,0.49714285714285714286,187,-0.32,19.48,6.27,https://lh3.googleusercontent.com/ufumJQN9NwT0U5jh_suJP5cLRIjyE38hirVdBChQLe-ghnt1RomIARfxSNmR6fdMQC0OIgjVQHhhduUfcxiRVrfHpihrXSW-SU5J=s120
sodativity,0.04,2.56,-20.00,9998,399.92,1,,11,-0.08,6.18,1.48,https://lh3.googleusercontent.com/fPTWX1SQ4Bq8pbyxja30iKAuAcEGyZij6VNQqJw03ap_blEIrkMuL9HWeHZyGW4gtd7ujGwCvXbOs7_ctxsDjDvsnEJKwI-8549v4w=s120
somnium-space,0.55,-8.33,-27.63,5712,3141.60,3,-0.88000000000000000000,1,-0.06,2.28,25.00,https://lh3.googleusercontent.com/mzUNo5vk95qQfpAbXir0_6oJmZlyqnq_ix3BIjmfeVGrFPoxeAqf-vYHMvh115bSdJGxRtgGTWKldOzdJQGtEqGW=s120
song-a-day,0.079,1.67,-11.24,4112,324.85,1,0.00000000000000000000,7,0.06,4.11,1.20,https://lh3.googleusercontent.com/iXC6YJZDSNOLRp6rDqTJxhF1ehND3baGVnZmMTsQIruRR9jJ-VF5znqFjUUwfnYMEPQQrYH4pt7cPW4nMANI-6HBEl_a1dGgjeUXAg=s120
soulz-monogatari,0.348,-11.90,-16.95,7777,2706.40,73,-0.03947368421052631579,194,-0.81,4.92,-7.04,https://lh3.googleusercontent.com/Ff7CoplULf9kqvsfPQrmEQdArrXF1hrEV6mPrnFVUDzHTSYJZVmbMbb8Vv3CBsapRcsaq-oQGapcDEMifoxvS2V1t7FPXTxVLm9b5Q=s120
spikyspacefish-united,0.0565,0.00,-13.08,10014,565.79,1,0.00000000000000000000,14,0.00,4.38,3.29,https://lh3.googleusercontent.com/ZAh7kkDwXvNx_PNVlG2xgOIakPTl-dPj4Nt3gn3CRz-13Ebc71qUUW5nayAy1JuWTSbU9lpKpWbz2z0_SK9lh6psUuwo79lQHhhd=s120
spooky-boys-country-club-by-holyghost,0.018,-30.77,-62.11,13034,234.61,0,,16,-0.13,3.59,7.09,https://lh3.googleusercontent.com/tzM3-e-GOFw5IyBwCxl4yhArHMSWQ8FPdiOBFFVo_6HNKSnr8q-wXzfOJ2MOHrB1s1NpG6V0s7qzr4pdNpMiZGY5AXZzceIJpDC5hQ=s120
spritely-genesis,0.045,-34.78,2.27,6000,270.00,2,1.00000000000000000000,26,-0.42,4.18,22.44,https://lh3.googleusercontent.com/F4I5xQKadmWTcaZTZJmI3yAVhnDQpsDtlJr5AxvBZ0w61sHs-EHRjwY2HRxuueSAN8lrkptIpgRtrNv_ElPg7NYGNN3HQEj4HGvE=s120
squiddao,4.49,-0.22,-18.36,65,291.85,0,,0,0.00,3.08,100.00,https://lh3.googleusercontent.com/Ce-xFqEi4CTBUP886llsk6-DEMD7vuga48-Jt9GA6aKRiTKPwyNl_ysDO2zxWAxMDNbxSjA4BwZdhIgI9NYztnblgCssL29bclWuvg=s120
squishy-squad,0.195,-7.14,0.00,8886,1732.77,6,-0.14285714285714285714,30,-0.13,4.42,5.08,https://lh3.googleusercontent.com/QpNMoHSR7sSxv27_B1v3Y7VvOl8-_JigGgy84CL2xLFKqJCVf7-giOcyl4mkheXdDi1FO2V2RDAx99DaQDHmiWSLZTxCpS3g2ASLwZg=s120
stapleverse-feed-clan,0.389,-0.26,3.73,9556,3717.28,14,1.8000000000000000,34,-0.30,3.40,14.04,https://lh3.googleusercontent.com/Ff2APegV52A29JmjHfAOPQibBlsIzCyUiHuUbR9-H1asq_TcyT2XcPpkbozTJDGCGWe_py20T23TLdImZO7w3BbAQvAt9q1R_VLFZA=s120
starcatchersnft,0.399444,-15.01,-33.43,10000,3994.44,184,-0.30566037735849056604,370,-0.05,22.40,-2.18,https://lh3.googleusercontent.com/uRZrWesOYmPJBCQV-YFcGslv6HncNKMmSkMCtUxGI1uOLVm713TPmN9BIs35-jEg8dXvgUnhxy0Udyj4qwZjNPliNSTP5DtiS7vkXw=s120
starkade-legion,0.07,-6.67,-12.50,7056,493.92,5,1.5000000000000000,59,0.20,5.80,6.51,https://lh3.googleusercontent.com/6qRCCRmBDJyHPt6LIwcALDK-GM0j0F78RUBuLX0m2oT4zIkKtadt4gMrPoKTh1HmqBQj8HpZYmS-BagtU8sydiYMnEMO6Z32Cc06U6k=s120
stoner-cats-official,0.295,-4.84,9.26,10430,3076.85,2,-0.60000000000000000000,5,-0.02,3.36,9.38,https://lh3.googleusercontent.com/7KkOAh6-6ORJVtcprl2iyvyJBuvk2UWuXdimcH7w82wRUPW4DsOtHmuptg7S9BsOlRQhhU2m6z1ec5ZnWhvFY05L1tpSUUIh35Q9=s120
strong-ape-club,0.016,-11.11,-36.00,3384,54.14,0,,0,0.00,3.13,4.95,https://lh3.googleusercontent.com/vNb5y4RisLYI6_GxpbNDvQ-w0LYnxWbu6WU9gCZZgV-1mxGf7im-SNGpudsLfA5WQIRelPB935N13ZcATEmYRxo7rVG7IMs5BoDh=s120
